Time,Volts,Measure
118.700,0.10,537
118.800,0.20,1070
118.900,0.20,1072
119.000,0.20,1072
119.100,0.20,1072
119.200,0.20,1072
119.300,0.20,1070
119.400,0.20,1073
119.500,0.20,1073
119.600,0.20,1071
119.700,0.20,1066
119.800,0.20,1072
119.900,0.20,1074
120.000,0.20,1073
120.100,0.20,1073
120.200,0.20,1066
120.300,0.20,1071
120.400,0.20,1072
120.500,0.20,1074
120.600,0.20,1072
120.700,0.20,1063
120.800,0.20,1072
120.900,0.20,1073
121.000,0.20,1072
121.100,0.20,1071
121.200,0.20,1076
121.300,0.20,1073
121.400,0.20,1072
121.500,0.20,1072
121.600,0.20,1072
121.700,0.20,1071
121.800,0.20,1071
121.900,0.20,1072
122.000,0.20,1073
122.100,0.20,1071
122.200,0.20,1074
122.300,0.20,1073
122.400,0.20,1071
122.500,0.20,1080
122.600,0.20,1071
122.700,0.20,1074
122.800,0.20,1073
122.900,0.20,1072
123.000,0.20,1068
123.100,0.20,1072
123.200,0.20,1072
123.300,0.20,1072
123.400,0.20,1071
123.500,0.20,1066
123.600,0.20,1072
123.700,0.20,1072
123.800,0.20,1072
123.900,0.20,1071
124.000,0.20,1068
124.100,0.20,1071
124.200,0.20,1072
124.300,0.20,1073
124.400,0.20,1072
124.500,0.20,1070
124.600,0.20,1072
124.700,0.20,1072
124.800,0.20,1073
124.900,0.20,1071
125.000,0.20,1072
125.100,0.20,1074
125.200,0.20,1072
125.300,0.20,1063
125.400,0.20,1072
125.500,0.20,1072
125.600,0.20,1073
125.700,0.20,1072
125.800,0.20,1069
125.900,0.20,1072
126.000,0.20,1073
126.100,0.20,1074
126.200,0.20,1071
126.300,0.20,1065
126.400,0.20,1073
126.500,0.20,1073
126.600,0.20,1072
126.700,0.20,1072
126.800,0.20,1072
126.900,0.20,1072
127.000,0.20,1072
127.100,0.20,1066
127.200,0.20,1071
127.300,0.20,1076
127.400,0.20,1073
127.500,0.20,1072
127.600,0.20,1075
127.700,0.20,1072
127.800,0.20,1069
127.900,0.20,1073
128.000,0.20,1072
128.100,0.20,1065
128.200,0.20,1072
128.300,0.20,1073
128.400,0.20,1072
128.500,0.20,1071
128.600,0.20,1065
128.700,0.20,1069
128.800,0.20,1073
128.900,0.20,1072
129.000,0.20,1071
129.100,0.20,1074
129.200,0.20,1072
129.300,0.20,1072
129.400,0.20,1073
129.500,0.20,1072
129.600,0.20,1069
129.700,0.20,1073
129.800,0.20,1072
129.900,0.20,1064
130.000,0.20,1072
130.100,0.20,1073
130.200,0.20,1072
130.300,0.20,1073
130.400,0.20,1075
130.500,0.20,1073
130.600,0.20,1073
130.700,0.20,1072
130.800,0.20,1071
130.900,0.20,1061
131.000,0.20,1072
131.100,0.20,1073
131.200,0.20,1071
131.300,0.20,1072
131.400,0.20,1069
131.500,0.20,1072
131.600,0.20,1072
131.700,0.20,1073
131.800,0.20,1071
131.900,0.20,1070
132.000,0.20,1073
132.100,0.20,1071
132.200,0.20,1072
132.300,0.20,1072
132.400,0.20,1071
132.500,0.20,1071
132.600,0.20,1073
132.700,0.20,1072
132.800,0.20,1071
132.900,0.20,1080
133.000,0.20,1075
133.100,0.20,1072
133.200,0.20,1074
133.300,0.20,1071
133.400,0.20,1073
133.500,0.20,1073
133.600,0.20,1071
133.700,0.20,1069
133.800,0.20,1070
133.900,0.20,1073
134.000,0.20,1073
134.100,0.20,1073
134.200,0.20,1072
134.300,0.20,1071
134.400,0.20,1070
134.500,0.20,1073
134.600,0.20,1072
134.700,0.20,1061
134.800,0.20,1071
134.900,0.20,1075
135.000,0.20,1073
135.100,0.20,1072
135.200,0.20,1068
135.300,0.20,1070
135.400,0.20,1073
135.500,0.20,1072
135.600,0.20,1072
135.700,0.20,1062
135.800,0.20,1072
135.900,0.20,1072
136.000,0.20,1073
136.100,0.20,1071
136.200,0.20,1053
136.300,0.20,1072
136.400,0.20,1072
136.500,0.20,1072
136.600,0.20,1071
136.700,0.20,1072
136.800,0.20,1072
136.900,0.20,1073
137.000,0.20,1071
137.100,0.20,1071
137.200,0.20,1080
137.300,0.20,1072
